id,歌曲名,评论内容,点赞数
186016,晴天,初中听周杰伦被同学嘲笑：唱的什么鬼…长那么丑…词都唱不清…他们哪知道若干年后会听着他的歌流泪一整晚，原来我们输给了时光，败给了唇红齿白的自己😭,87194
2866921,Schnappi,某天打开这首歌时，坐在旁边的老爹说：你这歌怎么骂人呐。。。骂人呐。。。,87160
27955653,你还要我怎样,他和某主持对话，他说唱片行业不景气，公司拿不出太多资金为他做唱片宣传，11年他卖掉一套房子凑了200万投资火锅店，只为赚钱养音乐，主持人问他：你去演戏是为什么。他回答：想红，这样就有更多人听我的歌。这样一个认真做音乐的人不多了，其他的不想评价，不是他的粉丝，但尊重他的认真。,85648
186016,晴天,现在想来 我们这波第一批老去的90后还是挺幸运的 在我们最好的年龄遇到了最好的华语乐坛（周杰伦巅峰 林俊杰 SHE  潘玮柏 蔡依林…）遇到了巅峰的星爷 遇到了最好的西科东艾北卡南麦 动画城陪我们成长 周杰伦陪我们成熟 我们看着星爷老去 见证科比退役 或许我们不是最好的一代 但一定是最精彩的一代,85640
308353,钟无艳,男不听七友，女不听钟无艳[流感],85628
418603077,告白气球,还是穷屌丝的时候约会只能去《园游会》捞鱼🐠，有钱了立马跑到塞纳河畔喝咖啡☕,85617
30854966,Masked Heroes,今天在街上看见一女孩子在街上淋雨 看着怪可怜的。就把雨伞给她了，接着我们一起回家了。,85491
33162226,悟空,恭喜《西游记之大圣归来》单日票房超过《小时代4》和《栀子花开》,85287
407761576,儿时,小时候五年级用没有油的圆珠笔在纸上写下自己的名字，递给我喜欢的那个女孩，然后装神弄鬼的跟她说“你拿铅笔涂一涂，你另一半的名字自然就出现，别犹豫亲上去”。我到现在还记得当她看到我名字时义无反顾告老师的样子。。。。虽然还是很漂亮，但那瞬间我觉得我的青春扑街了。,85201
27552544,《西游记》(86版)片头音乐,电音之王[惊恐][惊恐],84898
29750825,Es rappelt im Karton,卧槽，终于撞到了，舍友一个咪咪咪咪，一个耶耶耶耶耶耶，一个呱呱呱呱，我终于也有个铃声了,84821
17793698,Whistle,这个星期去食堂的路上听到一个男生吹出了这个口哨完全没跑调，至少我扭头了,84640
35847037,多幸运,刚结完婚用的这首歌，祝福我们吧谢谢[拜],84190
29553031,Sky (Radio Edit),网易最近成天给我推荐这种特别燃的音乐，妹的，成天打鸡血，听得都要炸毛了！！！每次都是听着听着身上使命感越来越重，有种要去炸学校的想法，听完就正常了[大哭],83251
5260494,一直很安静,伊人已逝[心碎],83125
27747330,被驯服的象,从前有只麋鹿，它在森林里玩儿，不小心走丢了。于是它给它的好朋友长颈鹿打电话：“喂…我迷路啦。”长颈鹿听见了回答说：“喂，我长颈鹿啦~”[憨笑][憨笑],82982
2919622,I Am You,只有在网易才能让大众冷门歌变成热门啊！！真心好歌！,82432
32341324,League of Legends Epic Dubstep(LOL Remix),假如哪天lol不再火了，我会换上我用的自己的第一个英雄，卡特。拿掉符文、天赋，再打一把简单的人机，因为从哪里开始就在哪里结束。,81960
30953009,See You Again,微博上看到的：“本以为保罗沃克去世了，这部里导演编剧会安排他的角色死掉，跟观众来个彻底的告别。但他们却没有，反而是让布莱恩带着微笑道别，和家人永远幸福地留在了电影里。电影真好，可以忽略现实里的不幸与痛苦，留一片永远美好单纯的桃源。真好。”人生岔口，你先转弯，我们终点，还会再遇见！,81573
29019227,Sugar,一定要看 mv 啊啊啊 maroon 5直击各种 结婚现场 新娘直接喊了 what  the fuck[大哭][大哭][大哭],81432
28095742,Rather Be,我要推荐给我的英语老师，我想告诉她，我喜欢她很久了，希望她给我一个保护她的机会。,80887
34923114,晚安,十年前第一次给你说晚安，而我却激动的失眠了一整晚。十年后的今晚再给你说晚安，不再失眠但是你的头压的我的胳膊有点酸。晚安。,80870
27646205,安和桥,我想我妈妈了，好希望自己还是那个17岁的少年，每天晚自习在楼下喊，妈，我回来了，然后她就下楼给我开门。可是我妈已经离开我10年了！感觉从她走得那天起，我再也没长大过。,80443
